Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
0,12/22/2023,جرين موكتيلز,green mocktails,شركة ميكس تيندر,شركة جرين كولا مصر و ميكس تيندر,alternative,,,,
2,1/3/2024,جوميا,Jumia,Jumia Technologies AG,بديل لموقع امازون و نوون للتسوق عبر الانترنت,alternative,,,,
3,1/3/2024,تريو,رول,بيراميدز للتجميل,منتج محلي غالبا,alternative,,,,
7,1/4/2024,يوجو,Ugo,Management gate,منتج بديل لبيبسي وكوكا كولا,alternative,,,,
8,1/4/2024,باريستاز,Baristas,شاب اسمه محمد,شاب اسمه محمد بيعمل بديل النسكافيه,alternative,,,,
9,1/4/2024,مينترا,Mintra,Mintra,احذية رياضية مصرية الصنع,alternative,,,,
12,1/4/2024,باريستا,Baristas ,Local brand by Mohamed Ali,Coffee and instant coffee ,alternative,,,,
13,1/4/2024,دوبل دير,Double dare,Double dare ?,مشروب جامد,alternative,,,,
17,1/4/2024,توال,Canvas,Mo_Tools,هو لوحات مجهزة للرسم متاحه بجميع المقاسات والأشكال وبأسعار أقل من المسورد وجودة مميزة ,alternative,,,,
18,1/4/2024,فتح الله ماركت,Fateh Allah Market,Fateh Allah Market,بديل للمحلات,alternative,,,,
19,1/4/2024,قدوة,QODWA,QODWA LTD,YouTube and TikTok alternative,alternative,,,,
28,1/5/2024,مياة حياة ,Hayat ,شركة المنصور القابضة للاستثمارات المالية ,تعود ملكية العلامة التجارية لشركة مياه حياة، إلى شركة المنصور القابضة للاستثمارات المالية لتوزيع منتجات العلامات التجارية الشهيرة من خلال منافذ المجموعة، والتي تم تأسيسها عام 1992، وتقوم الشركة بتصنيع وتوزيع العديد من المنتجات الغذائية والمياه والعصائر مثل مياه حياة.,alternative,,,,
29,1/6/2024,منفذ,Monafiz,Mobtakr LLC,منفذ منصة عربية للعمل وبيع الخدمات المصغرة.,alternative,,,,
36,1/7/2024,اوكسي,Oxi,أرما للصابون والمنظفات ,الشركة عربيه بمدينة العاشر من رمضان ، المنتج بديل عن برسيل ,alternative,,,,
41,1/7/2024,دي جي كير,DG Care,AlEsraa,"بديل لمعجون الاسنان, ليس بنفس الجودة لكنه بديل",alternative,,,,
50,1/8/2024,ايمارتس,EMarts,TEQNEIA,منتج مصري بديل لمنتجات امريكية لا اعلم اذا كانت داعمة ام لا مثل shopify و لكن اشتراكاته اقل و بالجنيه المصري ,alternative,,,,
51,1/8/2024,دابر المسواك,Dabur Miswak,دابر إيجبت المحدودة,بديل معاجين الأسنان سيجنال وكلوزآب,alternative,,,,
52,1/8/2024,فلورو,Floro,ايفا ,بديل معاجين الأسنان سيجنال وكلوزآب,alternative,,,,
