Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
1,1/1/2024,مندولين,Mandolin,كادبوري,دعم الكيان الصهيوني,boycott,,,,
4,1/3/2024,بيبسي,Pepsi,Pepsi,صهيونيه,boycott,,,,
6,1/3/2024,نون دوت كوم,Noon,محمد العبار,دعم اسرائيل ماديا,boycott,,,,
16,1/4/2024,دييل,Deel,Deel inc,Israeli founder,boycott,,,,
21,1/4/2024,جود فرانس,good france,Soreal,دورت كثير  و لقيت علي ابلكيشن اسمه Sa7wa انه داعم لاسرائيل كنت بجيبه علي اساس انه بديل للصوصات بس للاسف طلع غلط,boycott,,,,
22,1/4/2024,منتجات ايديتا,Edita,Edita,https://m.facebook.com/story.php?story_fbid=pfbid025XAi6J9K16NAUcbvoUemgtZFzn6JcjrwGSYAtHChFczanUCNPg91AHstv5KUtUkhl&id=61552693121397&mibextid=Nif5oz,boycott,,,,
23,1/4/2024,مولتو وجميع منتجات ايديتا,molto,edita,https://m.facebook.com/story.php?story_fbid=pfbid025XAi6J9K16NAUcbvoUemgtZFzn6JcjrwGSYAtHChFczanUCNPg91AHstv5KUtUkhl&id=61552693121397&mibextid=Nif5oz,boycott,,,,
25,1/5/2024,فيروز,Fayrouz,Al Ahram Beverages,Al Ahram Beverages is a member of the Heineken group,boycott,,,,
30,1/6/2024,اولد سبيس,Old Spice, ( P&G) Procter & Gamble,داعم للكيان,boycott,,,,
32,1/7/2024,شاي أحمد,Ahmad Tea,Ahmad Tea London,"بلد المنشأ بريطانيا منذ 1979
https://ahmadteausa.com/pages/our-story",boycott,,,,
33,1/7/2024,كلوس آب,Closeup,Unilever,Close-up is an American brand of toothpaste launched in 1967 by Unilever as the first gel toothpaste.[1][2] The brand is marketed worldwide by Unilever[3] and licensed since 2003[4][5] to Church & Dwight for the North American market.,boycott,,,,
38,1/7/2024,قهوة كيمبو,kimbo coffee,kimbo,please check,boycott,,,,
39,1/7/2024,أحمد تي,Ahmed Tea,Ahmed tea ,مقرها بريطانيا ,boycott,,,,
40,1/7/2024,نيفيا,Nivea ,Beiersdorf Global AG,لها أصول أمريكية وألمانية,boycott,,,,
43,1/7/2024,هنتر فودز,HUNTER FOODS,Hunter Foods Group Limited,داعمة,boycott,,,,
44,1/7/2024,اوكسي,Oxi,Henkel,تبع شركه امريكيه,boycott,,,,
45,1/7/2024,منصة شاهد,Shahid,مجموعة MBC,"قيام مجموعة (MBC) بتوقيع اتفاقية بين منصتها ""شاهد"" وشركة ""بارتنر"" الإسرائيلية

https://www.newarab.com/news/saudis-shahid-partners-israeli-mobile-company-reports",boycott,,,,
46,1/7/2024,فينيش,Finish,شركة بولندية,ابحث عن بديل لاقراص finish لغسالة الاطباق و كل البدائل قد تفسد الغسالة و تترك رواسب,boycott,,,,
47,1/7/2024,اوراكل,Oracle,اوراكل,https://x.com/oracle/status/1710696847667306762?s=46,boycott,,,,
48,1/7/2024,مولتو و هوهوز,Molto,Edita ,https://www.facebook.com/100006189888667/posts/3622023158013978/?mibextid=rS40aB7S9Ucbxw6v,boycott,,,,
53,1/8/2024,ديلى ديف,Daily dev,Daily dev,https://www.linkedin.com/posts/ido-shamun_effective-december-22-paul-biggar-is-no-activity-7144255311644721152-IH43?utm_source=share&utm_medium=member_ios,boycott,,,,
54,1/9/2024,كوفى ميكس, Coffee Mix,Nestle,Nestle product,boycott,,,,
55,1/9/2024,بريك,Break,Americana Group," Americana’s network encompasses several brands, some of which are KFC, Pizza Hut, Hardee's, T.G.I., Costa Coffee, Baskin Robbins, Krispy Kreme",boycott,,,,
58,1/10/2024,اروى,Arwa,كوكاكولا ,"تصنيع شركة كوكاكولا
المنتج متوفر في دول الخليج ",boycott,,,,
