Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
5,1/3/2024,جرين كولا ,Green Cola,Green Cola Hellas,منتج يوناني وغالباً داعم من بحث سريع علي جوجل ولكن لست متاكد ١٠٠٪,unsure,,,,
10,1/4/2024,أونو,UNO,Orouba coffee company ,هو المفروض مش مقاطعة بس انا اول مرة اسمع عن الشركة دي فالاحسن تدورو بردو عشان نتاكد وفي حد كان بيقول ان شركة misr cafe مقاطعة وان coffe break  مقاطعة عشان تبعها فلو ممكن تتاكدو بردو,unsure,,,,
11,1/4/2024,مشروب فولت ,volt energy drink ,volt.eg,مش عارف اي تفاصيل😁,unsure,,,,
14,1/4/2024,تيم كولا برتقال ليمون صودا,Pepsi ,Pepsi ,مكتوب علي العبوة بيبسي بقشان..,unsure,,,,
15,1/4/2024,لولو ماركت,Lulu Market,LuLu Group International,"
لولو هي شركة اماراتيه هندية الاصل 
https://en.wikipedia.org/wiki/LuLu_Group_International

يمتلكها رجل اعمال هندي مسلم يسمي يوسف
https://en.wikipedia.org/wiki/M._A._Yusuff_Ali",unsure,,,,
20,1/4/2024,سجاير هيتس,Heets cigarettes ,فيليب موريس,سجاير  ,unsure,,,,
24,1/4/2024,أوه مياه,Eau water,شركة النور للصناعة,"مش عارف
- نبيل",unsure,,,,
26,1/5/2024,دولسى,Dolce,mimix ,تبع شركه ايديتا الشركه دى مقاطعه ,unsure,,,,
27,1/5/2024,كلاركس,clarks,C. & J. Clark Retail,-----,unsure,,,,
31,1/6/2024,إكسبرت غسول اللحية,Expert Beard Wash ,Man Look,غسول لحية ,unsure,,,,
34,1/7/2024,إندومي,Indomie,Indofood,الشركة المصنعة مقرها في إندونيسيا لكن في شركة مالكة صينية اسمها First Pacific,unsure,,,,
35,1/7/2024,فاين,Fine,شركة البردي لصناعة الورق,شرمة فاين للورقيات لا ادري هل هي داعمة ام لا,unsure,,,,
37,1/7/2024,قهوة سيجافريدو,segafredo coffee,Massimo Zanetti Beverage Group,"nothing, just check please",unsure,,,,
