Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
343,3/22/2024,Asan,,Naturz,هل هذا المنتج يدعم الكيان او لا,boycott,,,,
342,3/22/2024,Asan,,Asan,بديل ,boycott,,,,
133,1/29/2024,test,test,test,testt,boycott,,,,
363,4/4/2024,test,test,test,testtesttest,boycott,,,,
320,3/13/2024,آبل,iPhone,Apple,Please check if we should boycott it or not.,unsure,,,,
91,1/29/2024,آبل,Apple,Apple,Apple MAP لا تعترف بخريطة فلسطين حيث أنها تعتبرها دولة إسرائيل إجمالا.,boycott,,,,
283,3/4/2024,آبل,Apple,Apple,شركة أمريكية,unsure,,,,
276,3/3/2024,آبل,Apple,Apple,"تتمتع شركة ""آبل"" بحضور كبير في إسرائيل، أنشأت الشركة مراكز بحث وتطوير في إسرائيل، وتوظف آلاف المهندسين الإسرائيليين وتساهم في الاقتصاد المحلي، ويشير هذا الاستثمار إلى أن شركة ""آبل"" ترى قيمة في التقدم التكنولوجي الذي تقدمه إسرائيل.",boycott,,,,
327,3/15/2024,أبل,Apple,Apple,American company,boycott,,,,
109,1/29/2024,أبل,Apple,Apple,https://shbabbek.com/show/228407,boycott,,,,
107,1/29/2024,أوفيس,Office,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518,boycott,,,,
228,1/31/2024,أوفيس,Office,Microsoft,برنامج أو خدمة مدفوعة من صنع شركة أمريكية.,boycott,,,,
145,1/29/2024,أوه,O Eau,شركة النور للصناعة,مياه معدنية,alternative,,,,
424,5/16/2024,أوه,Eau,شركة النور للصناعة,زجاجة ماء,alternative,,,,
318,3/12/2024,إندومي,Indome ,Indofood ,منتج من شركة إندونيسية,alternative,,,,
34,1/7/2024,إندومي,Indomie,Indofood,الشركة المصنعة مقرها في إندونيسيا لكن في شركة مالكة صينية اسمها First Pacific,unsure,,,,
260,2/29/2024,إندومي,Indome,Indofood ,شركة إندونيسية / نوعه: نودلز,alternative,,,,
319,3/12/2024,إندومي ,Indome ,Indofood ,شركة إندونيسية ,alternative,,,,
240,2/1/2024,إندومي ,Indome,Indofood,"منتج من نوع نودلز 
وشركة اندوفود شركة إندونيسية
https://en.m.wikipedia.org/wiki/Indofood",alternative,,,,
