Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
0,12/22/2023,جرين موكتيلز,green mocktails,شركة ميكس تيندر,شركة جرين كولا مصر و ميكس تيندر,alternative,,,,
1,1/1/2024,مندولين,Mandolin,كادبوري,دعم الكيان الصهيوني,boycott,,,,
2,1/3/2024,جوميا,Jumia,Jumia Technologies AG,بديل لموقع امازون و نوون للتسوق عبر الانترنت,alternative,,,,
3,1/3/2024,تريو,رول,بيراميدز للتجميل,منتج محلي غالبا,alternative,,,,
4,1/3/2024,بيبسي,Pepsi,Pepsi,صهيونيه,boycott,,,,
5,1/3/2024,جرين كولا ,Green Cola,Green Cola Hellas,منتج يوناني وغالباً داعم من بحث سريع علي جوجل ولكن لست متاكد ١٠٠٪,unsure,,,,
6,1/3/2024,نون دوت كوم,Noon,محمد العبار,دعم اسرائيل ماديا,boycott,,,,
7,1/4/2024,يوجو,Ugo,Management gate,منتج بديل لبيبسي وكوكا كولا,alternative,,,,
8,1/4/2024,باريستاز,Baristas,شاب اسمه محمد,شاب اسمه محمد بيعمل بديل النسكافيه,alternative,,,,
9,1/4/2024,مينترا,Mintra,Mintra,احذية رياضية مصرية الصنع,alternative,,,,
10,1/4/2024,أونو,UNO,Orouba coffee company ,هو المفروض مش مقاطعة بس انا اول مرة اسمع عن الشركة دي فالاحسن تدورو بردو عشان نتاكد وفي حد كان بيقول ان شركة misr cafe مقاطعة وان coffe break  مقاطعة عشان تبعها فلو ممكن تتاكدو بردو,unsure,,,,
11,1/4/2024,مشروب فولت ,volt energy drink ,volt.eg,مش عارف اي تفاصيل😁,unsure,,,,
12,1/4/2024,باريستا,Baristas ,Local brand by Mohamed Ali,Coffee and instant coffee ,alternative,,,,
13,1/4/2024,دوبل دير,Double dare,Double dare ?,مشروب جامد,alternative,,,,
14,1/4/2024,تيم كولا برتقال ليمون صودا,Pepsi ,Pepsi ,مكتوب علي العبوة بيبسي بقشان..,unsure,,,,
15,1/4/2024,لولو ماركت,Lulu Market,LuLu Group International,"
لولو هي شركة اماراتيه هندية الاصل 
https://en.wikipedia.org/wiki/LuLu_Group_International

يمتلكها رجل اعمال هندي مسلم يسمي يوسف
https://en.wikipedia.org/wiki/M._A._Yusuff_Ali",unsure,,,,
16,1/4/2024,دييل,Deel,Deel inc,Israeli founder,boycott,,,,
17,1/4/2024,توال,Canvas,Mo_Tools,هو لوحات مجهزة للرسم متاحه بجميع المقاسات والأشكال وبأسعار أقل من المسورد وجودة مميزة ,alternative,,,,
18,1/4/2024,فتح الله ماركت,Fateh Allah Market,Fateh Allah Market,بديل للمحلات,alternative,,,,
19,1/4/2024,قدوة,QODWA,QODWA LTD,YouTube and TikTok alternative,alternative,,,,
20,1/4/2024,سجاير هيتس,Heets cigarettes ,فيليب موريس,سجاير  ,unsure,,,,
21,1/4/2024,جود فرانس,good france,Soreal,دورت كثير  و لقيت علي ابلكيشن اسمه Sa7wa انه داعم لاسرائيل كنت بجيبه علي اساس انه بديل للصوصات بس للاسف طلع غلط,boycott,,,,
22,1/4/2024,منتجات ايديتا,Edita,Edita,https://m.facebook.com/story.php?story_fbid=pfbid025XAi6J9K16NAUcbvoUemgtZFzn6JcjrwGSYAtHChFczanUCNPg91AHstv5KUtUkhl&id=61552693121397&mibextid=Nif5oz,boycott,,,,
23,1/4/2024,مولتو وجميع منتجات ايديتا,molto,edita,https://m.facebook.com/story.php?story_fbid=pfbid025XAi6J9K16NAUcbvoUemgtZFzn6JcjrwGSYAtHChFczanUCNPg91AHstv5KUtUkhl&id=61552693121397&mibextid=Nif5oz,boycott,,,,
24,1/4/2024,أوه مياه,Eau water,شركة النور للصناعة,"مش عارف
- نبيل",unsure,,,,
25,1/5/2024,فيروز,Fayrouz,Al Ahram Beverages,Al Ahram Beverages is a member of the Heineken group,boycott,,,,
26,1/5/2024,دولسى,Dolce,mimix ,تبع شركه ايديتا الشركه دى مقاطعه ,unsure,,,,
27,1/5/2024,كلاركس,clarks,C. & J. Clark Retail,-----,unsure,,,,
28,1/5/2024,مياة حياة ,Hayat ,شركة المنصور القابضة للاستثمارات المالية ,تعود ملكية العلامة التجارية لشركة مياه حياة، إلى شركة المنصور القابضة للاستثمارات المالية لتوزيع منتجات العلامات التجارية الشهيرة من خلال منافذ المجموعة، والتي تم تأسيسها عام 1992، وتقوم الشركة بتصنيع وتوزيع العديد من المنتجات الغذائية والمياه والعصائر مثل مياه حياة.,alternative,,,,
29,"1/6/2024, 1/29/2024",منفذ,Monafiz,"Mobtakr LLC, Monafiz",منفذ منصة عربية للعمل وبيع الخدمات المصغرة. | منصة عمل حر عربية,alternative,,,,
30,1/6/2024,اولد سبيس,Old Spice, ( P&G) Procter & Gamble,داعم للكيان,boycott,,,,
31,1/6/2024,إكسبرت غسول اللحية,Expert Beard Wash ,Man Look,غسول لحية ,unsure,,,,
32,1/7/2024,شاي أحمد,Ahmad Tea,Ahmad Tea London,"بلد المنشأ بريطانيا منذ 1979
https://ahmadteausa.com/pages/our-story",boycott,,,,
33,1/7/2024,كلوس آب,Closeup,Unilever,Close-up is an American brand of toothpaste launched in 1967 by Unilever as the first gel toothpaste.[1][2] The brand is marketed worldwide by Unilever[3] and licensed since 2003[4][5] to Church & Dwight for the North American market.,boycott,,,,
34,"1/7/2024, 2/29/2024, 3/12/2024",إندومي,"Indomie, Indome, Indome ","Indofood, Indofood ",الشركة المصنعة مقرها في إندونيسيا لكن في شركة مالكة صينية اسمها First Pacific | شركة إندونيسية / نوعه: نودلز | منتج من شركة إندونيسية,"unsure, alternative",,,,
35,1/7/2024,فاين,Fine,شركة البردي لصناعة الورق,شرمة فاين للورقيات لا ادري هل هي داعمة ام لا,unsure,,,,
36,"1/7/2024, 1/29/2024, 1/30/2024",اوكسي,"Oxi, oxi","أرما للصابون والمنظفات , Henkel, لا اعلم, Arma , أرما للصابون والمنظفات",الشركة عربيه بمدينة العاشر من رمضان ، المنتج بديل عن برسيل  | تبع شركه امريكيه | مسحوق غسيل | مسحوق غسيل  | غير متأكد,"alternative, boycott, unsure",,,,
37,1/7/2024,قهوة سيجافريدو,segafredo coffee,Massimo Zanetti Beverage Group,"nothing, just check please",unsure,,,,
38,1/7/2024,قهوة كيمبو,kimbo coffee,kimbo,please check,boycott,,,,
39,1/7/2024,أحمد تي,Ahmed Tea,Ahmed tea ,مقرها بريطانيا ,boycott,,,,
40,"1/7/2024, 3/3/2024, 4/24/2024, 45429.0526",نيفيا,"Nivea , nivea,  Nivea, Nivea","Beiersdorf Global AG, nivea, Nivea, Beiersdorf","لها أصول أمريكية وألمانية | شركة نيفيا هي شركة المانية وهي من ابرز داعمين اسراءيل | فيه موقع زيكوا اسمه badayli
https://badayli.com/eg-ar/
حاطط ان نيفيا داعمه عشان هي شركه المانيه والمانيا داعمه للكيان
 هل تعتبر كده نيفيا مقاطعه ولا ايه ؟
شكرا | مش متاكد من انها مقاطعه ولا ","boycott, unsure",,,,
