Name,Original Index,Date,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
Asan,"342, 343",3/22/2024,,"Asan, Naturz",بديل  | هل هذا المنتج يدعم الكيان او لا,boycott,,,,
test,"133, 363","1/29/2024, 4/4/2024",test,test,testt | testtesttest,boycott,,,,
آبل,"91, 276, 283, 320","1/29/2024, 3/3/2024, 3/4/2024, 3/13/2024","Apple, iPhone",Apple,"Apple MAP لا تعترف بخريطة فلسطين حيث أنها تعتبرها دولة إسرائيل إجمالا. | تتمتع شركة ""آبل"" بحضور كبير في إسرائيل، أنشأت الشركة مراكز بحث وتطوير في إسرائيل، وتوظف آلاف المهندسين الإسرائيليين وتساهم في الاقتصاد المحلي، ويشير هذا الاستثمار إلى أن شركة ""آبل"" ترى قيمة في التقدم التكنولوجي الذي تقدمه إسرائيل. | شركة أمريكية | Please check if we should boycott it or not.","boycott, unsure",,,,
أبل,"109, 327","1/29/2024, 3/15/2024",Apple,Apple,https://shbabbek.com/show/228407 | American company,boycott,,,,
أوفيس,"107, 228","1/29/2024, 1/31/2024",Office,Microsoft,https://twitter.com/satyanadella/status/1711979964709605518 | برنامج أو خدمة مدفوعة من صنع شركة أمريكية.,boycott,,,,
أوه,"145, 424","1/29/2024, 5/16/2024","O Eau, Eau",شركة النور للصناعة,مياه معدنية | زجاجة ماء,alternative,,,,
إندومي,"34, 260, 318","1/7/2024, 2/29/2024, 3/12/2024","Indomie, Indome, Indome ","Indofood, Indofood ",الشركة المصنعة مقرها في إندونيسيا لكن في شركة مالكة صينية اسمها First Pacific | شركة إندونيسية / نوعه: نودلز | منتج من شركة إندونيسية,"unsure, alternative",,,,
إندومي ,"240, 319","2/1/2024, 3/12/2024","Indome, Indome ","Indofood, Indofood ","منتج من نوع نودلز 
وشركة اندوفود شركة إندونيسية
https://en.m.wikipedia.org/wiki/Indofood | شركة إندونيسية ",alternative,,,,
ادوبي ,"212, 368","1/31/2024, 45387.30997","Adobe, Adobe ","Adobe Inc, Adobe ","https://www.crikey.com.au/2023/11/01/israel-gaza-adobe-artificial-intelligence-images-fake-news/
second : | https://m.calcalistech.com/Article.aspx?guid=3903090",boycott,DONE,داعم غير مباشر,Glassbox Join Adobe Exchange Partner Program - Glassbox,تكنولوجيا
المسواك,"337, 385","3/20/2024, 45396.90837","meswak, Miswak","dabur, دابر",معجون أسنان المسواك من شركة دابر ، شركة مصرية | معجون أسنان ,"alternative, unsure",,,,
اوكسي,"36, 44, 128, 188, 192","1/7/2024, 1/29/2024, 1/30/2024","Oxi, oxi","أرما للصابون والمنظفات , Henkel, لا اعلم, Arma , أرما للصابون والمنظفات",الشركة عربيه بمدينة العاشر من رمضان ، المنتج بديل عن برسيل  | تبع شركه امريكيه | مسحوق غسيل | مسحوق غسيل  | غير متأكد,"alternative, boycott, unsure",,,,
اوه,"295, 347","3/5/2024, 3/29/2024",o,EAU,مياه شرب |  مياه معدنيه,alternative,,,,
اي او اس,"113, 114",1/29/2024,iOS,Apple,https://shbabbek.com/show/228407,boycott,,,,
ايفون,"111, 164, 378","1/29/2024, 1/30/2024, 45391.82873","iPhone, Iphone , IPhone ","Apple, Apple ","https://shbabbek.com/show/228407 | Apple  | عند سوأل سيري الوقت في فلسطين لن يجب.
اما عن سوأل سيري الوقت في إسرائيل سيجيب","boycott, unsure",,,,
بوكي (بوكي تيوب),"165, 166",1/30/2024,Poke (PokeTube),"https://ashley0143.xyz (Ashley), Ashley",فرنت اند (واجهة) لموقع اليوتيوب مفتوح المصدر ولا يحتوي على أي تعقب ولا اعلانات وبه روابط تبرع لفلسطين 🇵🇸  | واجهة لموقع اليوتيوب خالية من الإعلانات والتعقب وبها روابط دعم لفلسطين 🇵🇸,"boycott, alternative",,,,
بيك رولز,"217, 438, 439","1/31/2024, 45440.46715, 45440.73341",Bake rolz,"Edita , Edita, اديتا",تعاون مع شركات أمريكية  | معظم الأسهم أجنبية | لأنها تدعم اسرائيل,boycott,,,,
